Ticker,ISIN,Name,Company Common Name,Business Description,ICB Subsector code
A,US00846U1016,AGILENT TECH/d,Agilent Technologies Inc,"Agilent Technologies, Inc. provides application focused solutions that include instruments, software, services and consumables for the entire laboratory workflow. The Company serves the life sciences, diagnostics and applied chemical markets. The Company’s business segments include life sciences and applied markets business, diagnostics and genomics business, and Agilent CrossLab business. The life sciences and applied markets business segment provides application-focused solutions that include instruments and software. The Company's diagnostics and genomics business segment includes the genomics, nucleic acid contract manufacturing and research and development, pathology, companion diagnostics, reagent partnership and biomolecular analysis businesses. The Company's Agilent CrossLab business segment spans the entire lab with its consumables and services portfolio.",20102010
AAL.O,US02376R1023,AMERICN ARLNS /d,American Airlines Group Inc,"American Airlines Group Inc. is a holding company. The Company's primary business activity is the operation of a network air carrier, providing scheduled air transportation for passengers and cargo. The Company operates through American segment, which provides air transportation for passengers and cargo. The Company's cargo division provides a range of freight and mail services with facilities and interline connections available across the globe. Together with its regional airline subsidiaries and third-party regional carriers operating as American Eagle, its airline operated an average of nearly 6,700 flights per day to nearly 350 destinations in more than 50 countries, principally from its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix and Washington, District of Columbia, as of December 31, 2016. In the fiscal year ended December 31, 2016, approximately 199 million passengers boarded its mainline and regional flights.",40501010
AAP,US00751Y1064,ADV AUTO PARTS/d,Advance Auto Parts Inc,"Advance Auto Parts, Inc. is an automotive aftermarket parts provider in North America, serving both professional installers (Professional) and do-it-yourself (DIY) customers, as well as independently owned operators. The Company's stores and branches offer a selection of brand name, original equipment manufacturer (OEM) and private label automotive replacement parts, accessories, batteries and maintenance items for domestic and imported cars, vans, sport utility vehicles and light and heavy duty trucks. It operates through five segments: Northern Division, Southern Division, Carquest Canada, Independents and Worldpac. It operates approximately 4,806 total stores and 170 branches primarily under the trade names: Advance Auto Parts, Autopart International, Carquest and Worldpac. The Company offers products under categories, including parts & batteries, accessories & chemicals and engine maintenance.",40401030
AAPL.O,US0378331005,APPLE INC/d,Apple Inc,"Apple Inc. designs, manufactures and markets smartphones, personal computers, tablets, wearables and accessories, and sells a variety of related services. The Company’s products include iPhone, Mac, iPad, and Wearables, Home and Accessories. iPhone is the Company’s line of smartphones based on its iOS operating system. Mac is the Company’s line of personal computers based on its macOS operating system. iPad is the Company’s line of multi-purpose tablets based on its iPadOS operating system. Wearables, Home and Accessories includes AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch and other Apple-branded and third-party accessories. AirPods are the Company’s wireless headphones that interact with Siri. Apple Watch is the Company’s line of smart watches. Its services include Advertising, AppleCare, Cloud Services, Digital Content and Payment Services. Its customers are primarily in the consumer, small and mid-sized business, education, enterprise and government markets.",10102030
ABBV.K,US00287Y1091,ABBVIE/d,Abbvie Inc,"AbbVie Inc. (AbbVie) is a research-based biopharmaceutical company. The Company is engaged in research and development, manufacturing, commercialization and sale of medicines and therapies. AbbVie offers its products in various therapeutic categories, including Immunology products, which include Humira, Skyrizi and Rinvoq; Oncology products consists of Imbruvica and Venclexta; Aesthetics products include Botox Cosmetic, Juvederm Collection and other aesthetics; Neuroscience products, such as Botox Therapeutic, Vraylar, Duopa and Duodopa, and Ubrelvy; Eye care products consists of Lumigan, Alphagan and Restasis ; Women's health products incudes Lo Loestrin, Orilissa and other women's health; and Other key products, which includes Mavyret, Creon, Lupron, Linzess and Synthroid. The Company's products are sold worldwide directly to wholesalers, distributors, government agencies, health care facilities and independent retailers from AbbVie-owned distribution centers and public warehouses.",20103015
ABC,US03073E1055,AMERISOURCEBER/d,Amerisourcebergen Corp,"AmerisourceBergen Corporation is a pharmaceutical sourcing and distribution services company. The Company's segments include Pharmaceutical Distribution Services and Other. The Company provides services to healthcare providers, and pharmaceutical and biotech manufacturers. Its Pharmaceutical Distribution Services Segment serves healthcare providers in the pharmaceutical supply channel, the Pharmaceutical Distribution segment's operations provide drug distribution and related services. The Other segment consists of the operations of various segments, including the AmerisourceBergen Consulting Services (ABCS), the World Courier Group, Inc. (World Courier) and the MWI Veterinary Supply, Inc. (MWI).",45201015
ABMD.O,US0036541003,ABIOMED INC/d,ABIOMED Inc,"ABIOMED, Inc. is a provider of temporary percutaneous mechanical circulatory support devices. The Company offers care to heart failure patients. The Company operates in the segment of the research, development and sale of medical devices to assist or replace the pumping function of the failing heart. The Company develops, manufactures and markets products that are designed to enable the heart to rest, heal and recover by improving blood flow to the coronary arteries and end-organs and/or temporarily performing the pumping function of the heart. The Company's product portfolio includes the Impella 2.5, Impella CP, Impella RP, Impella LD, Impella 5.0 and AB5000. The Company's products are used in the cardiac catheterization lab (cath lab), by interventional cardiologists, the electrophysiology lab, the hybrid lab and in the heart surgery suite by heart surgeons.",20102010
ABT,US0028241000,ABBOTT LABS/d,Abbott Laboratories,"Abbott Laboratories (Abbott) is engaged in the discovery, development, manufacture, and sale of a diversified line of health care products. The Company operates through four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Company focuses on cardiovascular, diabetes care, diagnostics, neuromodulation, nutrition and medicine. It offers products, including FreeStyle, PediaSure, Pedialyte, Similac, EleCare, ZonePerfect, Juven, Ensure and Glucerna. The Company’s products are sold directly to wholesalers, distributors, government agencies, health care facilities, pharmacies, and independent retailers from Abbott-owned distribution centers and public warehouses. The cardiovascular's products include Portico, MitraClip, Dilatation Catheter, among others. The diagnostics products include IntelliFISH, Vysis ALK, STARLIMS, PathVysion, AlinIQ, among others.",20103015
ACC,US0248351001,AMER CMPS COMM/d,American Campus Communities Inc,"American Campus Communities, Inc. is a self-managed and self-administered equity real estate investment trust (REIT). The Company's segments include Wholly-Owned Properties, On-Campus Participating Properties, Development Services, and Property Management Services. It is engaged in the acquisition, design, financing, development, construction management, leasing and management of student housing properties. The Wholly-Owned Properties segment consists of off-campus properties, which are located in close proximity to the school campus. The On-Campus Participating Properties segment includes on-campus properties that are operated under long-term ground/facility leases with three university systems. The Development Services segment consists of development and construction management services that it provides through one of its taxable REIT subsidiaries for third-party owners. The Property Management Services segment includes revenues generated from third-party management contracts.",35102040
ACHC.O,US00404A1097,ACADIA HEALTHC/d,Acadia Healthcare Company Inc,"Acadia Healthcare Company, Inc. is a provider of behavioral healthcare services, with operations in the United States and the United Kingdom. The Company focuses on acquiring and developing behavioral healthcare facilities. The Company operates through two segments: U.S. Facilities and U.K. Facilities. The Company is engaged in operating acute inpatient psychiatric facilities, specialty treatment facilities, residential treatment centers and facilities providing outpatient behavioral healthcare services. Its U.S. Facilities include approximately 224 behavioral healthcare facilities with approximately 9,500 beds in 40 states and Puerto Rico. The Company’s U.K. Facilities include approximately 361 behavioral healthcare facilities with approximately 8,700 beds in the United Kingdom. The Company operates a network of approximately 588 behavioral healthcare facilities with approximately 18,200 beds in 40 states, the United Kingdom and Puerto Rico.",20101025
