,ticker,name,common_name,sector
0,A,AGILENT TECH,Agilent Technologies Inc,20102010.0
1,AAL.O,AMERICN ARLNS ,American Airlines Group Inc,40501010.0
2,AAP,ADV AUTO PARTS,Advance Auto Parts Inc,40401030.0
3,AAPL.O,APPLE INC,Apple Inc,10102030.0
4,ABBV.K,ABBVIE,Abbvie Inc,20103015.0
5,ABC,AMERISOURCEBER,Amerisourcebergen Corp,45201015.0
6,ABMD.O,ABIOMED INC,ABIOMED Inc,20102010.0
7,ABT,ABBOTT LABS,Abbott Laboratories,20103015.0
8,ACC,AMER CMPS COMM,American Campus Communities Inc,35102040.0
9,ACHC.O,ACADIA HEALTHC,Acadia Healthcare Company Inc,20101025.0
10,ACIW.O,ACI WORLDWIDE,ACI Worldwide Inc,50205015.0
11,ACM,AECOM,AECOM,50101015.0
12,ACN,ACCENTURE PLC,Accenture PLC,50205020.0
13,ADBE.O,ADOBE INC,Adobe Inc,10101015.0
14,ADI.O,ANALOG DEVICES,Analog Devices Inc,10102010.0
15,ADM,ARCHER-DANIELS,Archer-Daniels-Midland Co,45102030.0
16,ADNT.K,ADIENT PLC,Adient PLC,40101025.0
17,ADP.O,AUTOMATIC DATA,Automatic Data Processing Inc,50205020.0
18,ADS,ALLIANCE DATA,Alliance Data Systems Corp,50205015.0
19,ADSK.O,AUTODESK INC,Autodesk Inc,10101015.0
20,AEE,AMEREN CORP,Ameren Corp,65102000.0
21,AEO,AMER EAGLE OUT,American Eagle Outfitters Inc,40401020.0
22,AEP.O,AMRCN ELCTRC O,American Electric Power Company Inc,65101015.0
23,AES,THE AES CORP,AES Corp,65101015.0
24,AFG,AMER FINL GRP,American Financial Group Inc,30302025.0
25,AFL,AFLAC INC,Aflac Inc,30301010.0
26,AGCO.K,AGCO CRP,AGCO Corp,50204010.0
27,AIG,AMER INTL GROU,American International Group Inc,30302010.0
28,AIRC.K,APRTM INC RT O,Apartment Income REIT Corp,35102040.0
29,AIZ,ASSURANT,Assurant Inc,30302025.0
30,AJG,ARTHUR J GALLA,Arthur J Gallagher & Co,30302025.0
